ns,title,category
0,Microworld (video game),1981 video games
0,Milestones (video game),1981 video games
0,Mind Thrust,1981 video games
0,Mini-Munchman,1981 video games
0,Mole Attack,1981 video games
0,Mouse Trap (video game),1981 video games
0,Munchman (tabletop electronic game),1981 video games
0,My First Alphabet,1981 video games
0,Napoleon's Campaigns: 1813 & 1815,1981 video games
0,New Rally-X,1981 video games
0,Omega Race,1981 video games
0,Oo-Topos,1981 video games
0,Operation Apocalypse,1981 video games
0,Outpost (1981 video game),1981 video games
0,Pelé's Soccer,1981 video games
0,Pleiades (arcade game),1981 video games
0,President Elect (video game),1981 video games
0,Protector (1981 video game),1981 video games
0,Pulsar (video game),1981 video games
0,Qix,1981 video games
0,Quest 1,1981 video games
0,Quest for the Rings,1981 video games
0,Radar Rat Race,1981 video games
0,Raster Blaster,1981 video games
0,Red Alert (1981 video game),1981 video games
0,Red Alert (video game),1981 video games
0,Reversal (video game),1981 video games
0,Rings of Saturn (video game),1981 video games
0,River Patrol (video game),1981 video games
0,Robot Attack,1981 video games
0,RobotWar,1981 video games
0,Round-Up (video game),1981 video games
0,Route-16 (video game),1981 video games
0,Sabotage (video game),1981 video games
0,Scarfman,1981 video games
0,Scram (video game),1981 video games
0,Scramble (video game),1981 video games
0,Sengoku Ninja Tai,1981 video games
0,The Shattered Alliance,1981 video games
0,Skeet Shoot,1981 video games
0,Sky Skipper,1981 video games
0,Snafu (video game),1981 video games
0,Sneakers (1981 video game),1981 video games
0,Softporn Adventure,1981 video games
0,Solar Fox,1981 video games
0,Solar Quest,1981 video games
0,Sorcerer of Siva,1981 video games
0,Southern Command (video game),1981 video games
0,Space Dungeon,1981 video games
0,Space Eggs,1981 video games
0,Space Fury,1981 video games
0,Space Hawk,1981 video games
0,Stampede (video game),1981 video games
0,Star Strike,1981 video games
0,Stargate (video game),1981 video games
0,Starship Commander (1981 video game),1981 video games
0,Stone Sling,1981 video games
0,Strategy X (video game),1981 video games
0,Sumer (video game),1981 video games
0,Super Cobra,1981 video games
0,Super Taxman 2,1981 video games
0,SwordThrust,1981 video games
0,Tawala's Last Redoubt,1981 video games
0,Taxman (video game),1981 video games
0,Tempest (video game),1981 video games
0,Tennis (1981 video game),1981 video games
0,Thief (Apple II game),1981 video games
0,Thief (arcade game),1981 video games
0,Tigers in the Snow,1981 video games
0,Tombstone City: 21st Century,1981 video games
0,Tooth Invaders,1981 video games
0,Torpedo Fire,1981 video games
0,Treasure Island (1981 video game),1981 video games
0,Triple Action,1981 video games
0,Tron: Deadly Discs,1981 video games
0,Tsunami (video game),1981 video games
0,Turbo (video game),1981 video games
0,Turtles (video game),1981 video games
0,Ultima I: The First Age of Darkness,1981 video games
